fips,pollutant,year,pred_wght,state_abbr,lat,lon
49003,o3,1999,56.4664534087044,UT,41.5910270435218,-112.099936388194
49005,o3,1999,56.7251434304431,UT,41.7443369753941,-111.840606368059
49007,o3,1999,59.7648607858711,UT,39.6016290379853,-110.777271924497
49009,o3,1999,56.6806428706327,UT,40.9678584513692,-109.646155807365
49011,o3,1999,57.3652955970882,UT,41.0195707346996,-111.958836533661
49013,o3,1999,58.5320609018111,UT,40.2894083194497,-110.16534938464
49015,o3,1999,60.8302501184402,UT,39.2160518586006,-110.9253240707
49017,o3,1999,59.5094411059551,UT,37.761851450116,-112.088923433875
49019,o3,1999,57.1032893658537,UT,38.569099598916,-109.530232411924
49021,o3,1999,58.6034892576306,UT,37.7091593852219,-113.073797045253
49023,o3,1999,59.516344163576,UT,39.7503682119852,-111.894820124927
49025,o3,1999,58.5046261052632,UT,37.1148368701754,-112.425845052632
49027,o3,1999,59.1430237862913,UT,39.2146051027753,-112.495065344317
49029,o3,1999,62.043406399831,UT,41.073209483578,-111.718139613476
49031,o3,1999,61.8035273136247,UT,38.2884787917738,-112.208066195373
49033,o3,1999,60.8015685512367,UT,41.7668911219081,-111.279030477032
49035,o3,1999,56.7739360360509,UT,40.6463220871068,-111.922750444566
49037,o3,1999,58.4463592906551,UT,37.5238815271938,-109.520258849858
49039,o3,1999,61.9827449859823,UT,39.3805494536698,-111.60655510028
49041,o3,1999,60.3065192048841,UT,38.7747415152389,-112.041913902509
49043,o3,1999,62.880839230261,UT,40.7278118957163,-111.47074911904
49045,o3,1999,57.0143895599299,UT,40.5607820553781,-112.379282575836
49047,o3,1999,57.5903671903768,UT,40.4264818982448,-109.597110807659
49049,o3,1999,58.0057851838301,UT,40.2723486568944,-111.731664994076
49051,o3,1999,62.5168396260094,UT,40.5056975478113,-111.412290182745
49053,o3,1999,58.1309793758824,UT,37.1351630409441,-113.51971034283
49055,o3,1999,63.5690421166307,UT,38.3616346652268,-111.467329013679
49057,o3,1999,57.0210331635213,UT,41.2246134542199,-111.990295654656
49001,o3,2000,61.1073310604918,UT,38.2997093980993,-112.776410318298
49003,o3,2000,56.3338929724862,UT,41.5910270435218,-112.099936388194
49005,o3,2000,56.8937537911873,UT,41.7443369753941,-111.840606368059
49007,o3,2000,61.0032910853619,UT,39.6016290379853,-110.777271924497
49009,o3,2000,57.8733930122757,UT,40.9678584513692,-109.646155807365
49011,o3,2000,57.8342231395952,UT,41.0195707346996,-111.958836533661
49013,o3,2000,59.0117222658139,UT,40.2894083194497,-110.16534938464
49015,o3,2000,62.603528298105,UT,39.2160518586006,-110.9253240707
49017,o3,2000,60.7228631670534,UT,37.761851450116,-112.088923433875
49019,o3,2000,58.6187126612466,UT,38.569099598916,-109.530232411924
